team,elo
Scotland,1687.3624537040316
England,1892.5821290985318
Wales,1684.7676522402085
Northern Ireland,1567.9519199266515
United States,1770.951242272253
Uruguay,1817.2450735423085
Austria,1771.0417702760358
Hungary,1702.2716173527422
Argentina,1985.2581690488153
Belgium,1833.8543712375351
France,1953.1605942992796
Guernsey,1672.4035496975584
Jersey,1720.0522438577973
Netherlands,1879.2351643565612
Guyana,1458.2754045278646
Czechoslovakia,1670.1533733419571
Alderney,1183.213343100548
Switzerland,1791.4489567680432
Sweden,1719.7019887145595
Germany,1878.3543325972616
Italy,1845.0251675413476
Chile,1700.0472456962236
Norway,1753.2996347859134
Russia,1756.824877726172
Finland,1562.2289697263002
Luxembourg,1426.625290721667
Denmark,1801.1104934181342
Catalonia,1629.1990315701325
Philippines,1375.6120867984007
Basque Country,1713.28433814769
China PR,1546.4969454085528
Brazil,1908.8887231244446
Japan,1858.5436839196584
Paraguay,1726.5847839143132
Greece,1695.0722142685672
Spain,1985.4184134754
Egypt,1721.6675105497623
Suriname,1517.745528232834
Canada,1753.7850850776524
Estonia,1424.6394539912267
Costa Rica,1655.6646706146119
Guatemala,1569.205490212056
Brittany,1521.2437313634837
Poland,1730.837496031594
Yugoslavia,1693.7222482875216
New Zealand,1622.450272859614
Romania,1620.6978053817277
Latvia,1367.9420770913844
Galicia,1532.4298954188653
Portugal,1891.1406261983582
Andalusia,1581.9066797293287
Australia,1774.7333362348731
Lithuania,1359.447202033168
Turkey,1779.9701589230153
Central Spain,1500.55049469111
Mexico,1802.4758942605279
Aruba,1289.2301105914987
Republic of Ireland,1653.0851364636667
Haiti,1580.9211025491181
Bulgaria,1523.2437770969107
Jamaica,1613.6983274447603
Kenya,1484.0022939686612
Bolivia,1588.189954896934
Peru,1671.063400933657
Honduras,1595.4461948343749
Uganda,1493.4877181311379
Belarus,1506.2344625852616
El Salvador,1480.9444452669609
Barbados,1265.8337857249785
Trinidad and Tobago,1506.056200334973
Cuba,1413.270104660927
Curaçao,1502.3931794180464
Dominica,1281.4362501036442
Silesia,1507.9604323804365
Guadeloupe,1500.9966154173976
Israel,1583.6400117755013
French Guiana,1432.9884035367231
Panama,1697.4621236376554
Colombia,1875.3359309123762
Venezuela,1693.2282564565717
Ecuador,1818.0110181662496
Saint Kitts and Nevis,1376.736591963966
Slovakia,1647.4920774873267
Manchukuo,1468.3785396460028
Croatia,1841.5166609915198
Nicaragua,1446.0978382597766
Afghanistan,1291.566606754029
India,1370.6121735962865
Martinique,1472.953145110736
Zimbabwe,1457.4338268325062
Iceland,1567.1098518155566
Albania,1600.305829081368
Madagascar,1465.4520771734994
Zambia,1514.0841648615071
Mauritius,1276.9879525543122
Tanzania,1413.8545303787612
Iran,1796.0931050666234
Djibouti,1172.5240184619406
DR Congo,1635.2365552156984
Vietnam,1534.0974326323364
Macau,1082.068515672264
Ethiopia,1410.8292379852912
Puerto Rico,1386.5692475099954
Réunion,1554.1074303230646
Sierra Leone,1438.0404148807527
Zanzibar,1482.7367905851452
South Korea,1788.8057889725462
Ghana,1572.5769743382211
South Africa,1626.963323132109
New Caledonia,1542.2174887999531
Fiji,1486.8655648789581
Nigeria,1710.4493765319748
Myanmar,1265.7878088966606
Sri Lanka,1158.0359636012377
Tahiti,1528.2860546154118
Gambia,1485.419124230154
Hong Kong,1391.1584404947987
Singapore,1381.3437686145942
Malaysia,1519.096265797011
Indonesia,1480.2323423917371
Guinea-Bissau,1390.3626747447229
German DR,1648.3379751969642
Vanuatu,1465.7576243952728
Kernow,1567.6368323523586
Saarland,1463.2968317529715
Taiwan,1241.1566932898295
Cambodia,1188.6984898012147
Lebanon,1445.0030905270626
Pakistan,1154.3445743951581
Vietnam Republic,1440.8812589018507
North Korea,1503.88855611668
Togo,1465.7285682116508
Sudan,1440.1610388490458
Malta,1362.3288255345524
Syria,1533.8345046722939
Tunisia,1686.3636528448774
Malawi,1434.270790610978
Morocco,1850.1816512395214
Benin,1510.9264512546201
Thailand,1556.8849209404323
Ivory Coast,1714.974672582007
Burkina Faso,1608.0685356307733
Congo,1386.7789984981684
Cameroon,1649.4636675511413
Mali,1638.4980810782856
North Vietnam,1467.8524082045456
Mongolia,1187.2329101777102
Cyprus,1389.1330766562546
Iraq,1683.119276858938
Saint Lucia,1334.610022649474
Grenada,1346.2655091869717
Senegal,1799.7824607113666
Chad,1309.3571724335636
Central African Republic,1380.4349494583773
Libya,1515.1126196832881
Gabon,1517.3557235408746
Guinea,1526.6420024429121
Algeria,1771.4608441582207
Kuwait,1490.5115235979079
Jordan,1659.700907936006
Liberia,1397.3880667028154
Solomon Islands,1449.2183363592846
Laos,1135.5462069470268
Saint Vincent and the Grenadines,1399.1570040171387
Bermuda,1381.7651440840684
Niger,1428.7825392981747
Montenegro,1513.4518148333661
Palestine,1513.9838526748038
Bahrain,1544.8399150879077
Papua New Guinea,1473.5020153307637
Mauritania,1445.5349750543246
Saudi Arabia,1638.574118825563
Eswatini,1340.3347866909835
Western Australia,1438.6620708140722
Somalia,1167.1165357036084
Lesotho,1380.4511879608094
Cook Islands,1327.4869467627218
Qatar,1606.5109837980986
Antigua and Barbuda,1299.215627823008
Faroe Islands,1378.2110573944722
Bangladesh,1246.6032272920272
Yemen,1335.2933295868045
Oman,1600.323561605103
Yemen DPR,1424.9436245285044
Burundi,1409.2621323060246
Mozambique,1474.166231364174
Guam,1189.804318116356
Angola,1541.3070085541603
Dominican Republic,1463.9876925205922
Seychelles,1146.9235794891301
Rwanda,1460.4047880472924
São Tomé and Príncipe,1266.5192600918247
Botswana,1425.8797258642317
Northern Cyprus,1590.8766679369512
Cape Verde,1593.0875600355894
Kyrgyzstan,1443.6714833430904
Georgia,1612.020782710087
Azerbaijan,1421.3748020299915
Comoros,1447.3880147402947
Kiribati,1408.7719834072846
Tonga,1278.749343831922
Wallis Islands and Futuna,1392.3179770509464
United Arab Emirates,1624.4304074575468
Brunei,1113.352513633571
Equatorial Guinea,1464.9763701484276
Liechtenstein,1139.7329804585547
Nepal,1238.5918331576352
Greenland,1449.095854592297
Samoa,1366.6299071814765
Niue,1483.4700378917476
American Samoa,1213.0490179589958
Belize,1349.585979189075
Maldives,1203.009355408874
Anguilla,1135.1499587243356
Cayman Islands,1260.2031265157818
Palau,1474.017222405147
Sint Maarten,1380.0787098178112
